word,count
rustled,1
***,4
flat,2
cartwheels,1
month,2
rome,2
rattle,1
pictured,1
spoken,1
hopeless,1
first,51
treated,1
knock,1
hunting,3
crowded,5
saying,15
extremely,2
lesson,3
nicely,2
bristling,1
hand,21
poky,1
evidently,1
bag,1
flurry,1
state,1
beast,1
speech,3
age,4
dipped,2
flapper,1
whose,2
kills,1
see,67
guessed,3
reeds,1
practice,1
tinkling,1
care,4
over,40
gay,1
quarrel,1
about,94
butterfly,1
longed,2
beds,2
wash,2
figures,1
history,7
authority,2
laugh,1
release,1
imagine,2
naturedly,1
whether,11
tremble,1
mournful,1
no,92
straightened,1
five,8
paw,3
looking,32
such,41
seem,8
up,100
began,58
fitted,1
ways,1
roast,1
besides,4
ebook,5
minutes,11
encourage,1
snappishly,1
coast,1
grief,1
undertone,2
creature,4
disagree,1
respect,1
mercia,2
quadrille,4
pigs,6
footmen,1
of,519
interrupted,9
found,32
pulled,1
conversation,10
memory,1
edgar,1
brass,1
hedgehogs,3
offend,1
cauldron,2
placed,1
that,315
simply,3
low,15
denying,1
reaching,1
every,12
daughter,1
untwist,1
tight,1
crown,3
line,2
mouths,4
home,5
mine,10
wildly,2
sleepy,5
expecting,3
feather,1
drive,2
nice,6
think,53
happen,8
oldest,1
surprised,7
waste,1
bringing,3
part,2
pat,3
either,10
partners,1
concert,2
unpleasant,2
hair,7
jaw,1
snatch,2
tucked,3
wearily,1
prettier,1
despair,1
duchess,42
eats,1
box,10
desk,1
else,12
fluttered,1
guinea,6
gravely,3
writing,6
lazily,1
invent,1
sitting,10
ornamented,2
attempt,1
arrived,1
commotion,1
secondly,2
eyed,1
quicker,1
sister,9
hurrying,1
result,1
carry,1
presented,1
banks,1
centre,1
yours,3
certainly,14
tone,40
lest,1
jumped,6
easily,3
pencil,2
as,263
australia,1
get,46
hat,1
politely,6
turned,16
cheerfully,1
steady,1
trumpet,3
green,4
tunnel,1
pointing,4
swimming,2
run,4
telling,2
thimble,4
elsie,1
carroll,4
pool,11
hadn,8
daisy,1
banquet,1
canary,1
online,1
easy,2
watched,2
thoroughly,2
long,32
position,2
sighing,3
frog,3
tales,1
gallons,1
present,3
considering,3
her,248
mouth,10
ill,2
anyone,1
vote,1
soldier,1
crazy,1
accounts,1
hm,1
fortunately,1
pairs,1
miserable,2
answer,9
ugly,2
safe,2
kings,1
folded,3
went,83
fifth,1
engraved,1
corner,4
glad,11
twentieth,1
flying,1
choking,1
kept,13
here,51
matter,9
angrily,9
swim,5
flamingo,5
race,6
slightest,1
annoy,1
updated,1
queerest,1
grow,13
away,26
having,10
three,28
tremulous,1
belongs,2
melancholy,6
grumbled,1
saw,14
choosing,1
impatiently,5
sugar,2
failure,1
continued,9
faint,1
shark,1
birthday,1
directly,2
flown,1
repeating,3
coils,1
alarmed,1
dogs,3
said,462
sobbed,1
sure,24
belt,1
animals,4
ourselves,1
choke,1
neat,1
squeeze,1
morning,5
snout,1
settle,1
ful,1
drawling,3
past,3
shelves,2
upright,1
seven,6
sense,3
counting,1
author,1
cats,13
brightened,2
tones,2
lie,2
cleared,1
existence,1
bend,2
shook,9
doze,1
tops,1
opinion,1
true,4
ear,6
grinned,3
stockings,1
older,2
doubt,4
gravy,1
latitude,2
dishes,2
stole,2
uneasily,2
em,3
housemaid,1
reading,3
sand,1
still,13
bent,1
english,7
loose,1
silent,7
surprise,5
crawled,1
swallowed,1
traps,1
noticing,1
wise,2
died,1
beau,4
arch,1
project,4
do,81
saucer,1
currants,1
attempts,1
door,30
goose,2
_i,2
pleasant,1
atheling,1
where,15
ann,4
asking,5
hare,31
why,40
taking,5
jury,22
night,5
stool,1
soon,25
sooner,2
sky,5
shy,1
answers,1
crawling,1
lark,1
haste,1
rabbit,51
begins,4
eat,18
ridges,1
look,29
mystery,2
what,141
miss,4
sang,2
protection,1
helpless,1
sneeze,2
doubtfully,2
then,94
remaining,1
us,14
hasn,2
rattling,2
signify,1
try,12
dare,5
oop,7
bottom,4
settled,3
inquired,1
turn,11
were,85
listeners,1
delighted,2
balls,1
verses,4
even,19
painting,2
hands,12
friend,3
mostly,2
daisies,1
interest,1
tumbled,1
earls,2
hurried,11
seemed,27
climb,1
gained,1
avoid,1
lodging,1
fairy,1
shared,1
reasonable,1
plenty,2
jug,1
jumping,4
fourteenth,1
toast,1
enough,18
four,8
crust,1
calling,1
expression,1
addressed,2
carrier,1
using,2
walked,10
thrown,1
seals,1
poured,1
bursting,1
2008,1
summer,2
sound,4
everybody,8
wig,2
top,8
golden,7
candle,3
skurried,1
schoolroom,1
t,218
fancied,2
finishing,1
reach,4
gave,15
various,1
guard,1
whatsoever,1
wake,2
offended,10
fight,2
25,1
unrolled,2
idea,15
nobody,8
tarts,7
fulcrum,1
spell,1
love,3
winter,1
collected,2
beak,1
signifies,1
arm,15
rat,1
behind,13
boy,3
crash,3
cattle,1
answered,4
cup,2
splendidly,1
odd,1
edwin,2
behead,1
chair,1
sage,1
shower,2
fifteenth,1
fat,1
venture,3
fishes,1
pun,1
meeting,1
leap,1
subjects,1
tureen,1
bread,7
wants,2
twinkled,1
eel,2
won,26
soothing,1
anger,2
struck,2
used,13
already,2
feathers,1
into,67
you,412
draw,7
eagerly,8
hungry,3
blacking,1
w,1
crashed,1
everything,14
followed,8
morsel,1
scream,2
mean,10
within,2
figure,3
sweet,1
names,2
louder,1
needn,3
curly,1
table,18
gazing,1
feeble,2
below,3
nibbling,3
time,71
nile,1
dreamy,1
directed,2
chrysalis,1
duck,4
weren,1
upset,3
forehead,2
clapping,1
vi,1
unjust,1
presents,2
prizes,5
label,2
had,178
grins,1
dance,13
dinner,2
inkstand,1
marked,6
patted,1
drowned,1
contemptuously,2
instance,3
mice,4
flower,2
adoption,1
voices,3
appear,2
dancing,2
tongue,4
glanced,1
anxious,3
large,33
account,1
tired,7
trotting,2
pinch,2
smallest,2
gloomily,1
list,3
somersault,2
go,50
axes,1
annoyed,1
sink,1
relief,2
letter,3
become,5
notion,3
forget,2
burn,2
morals,1
shoulder,4
anywhere,2
toys,1
twelve,4
handed,3
locked,1
leaders,1
if,96
circle,1
toffee,1
shiver,1
pattering,3
ambition,1
suppressed,4
question,17
fender,1
washing,3
something,18
thistle,2
c,1
voice,48
directions,3
remember,14
blasts,2
pocket,7
ma,3
fidgeted,1
cucumber,2
ada,1
screaming,1
dig,1
seeing,1
lay,4
sentence,6
coming,9
fact,8
familiarly,1
twist,2
raising,1
the,1647
suppose,14
each,8
rushed,1
thing,49
adding,1
books,2
simple,5
hedges,1
knocking,3
violently,4
living,2
pretexts,1
six,2
grass,4
ll,57
giddy,2
injure,1
contemptuous,1
included,1
bird,2
note,2
wondering,7
suddenly,13
forgotten,6
carrying,2
seaside,1
slipped,3
queens,1
backs,1
around,3
permitted,1
trembling,6
live,8
knowing,2
silence,14
coaxing,2
ugh,2
men,1
replied,29
elegant,1
opportunity,8
playing,2
lad,1
cheap,1
inwards,1
difficult,2
heart,2
good,27
crouched,1
canterbury,1
understood,1
crocodile,1
them,88
parchment,2
lefthand,2
shriek,5
land,1
cackled,1
yelp,1
laid,2
rising,1
coward,1
puffed,1
wonderland,8
lazy,1
respectful,1
body,2
hurriedly,2
meant,5
chop,1
pack,5
use,20
wandering,2
vii,1
joined,3
suet,1
on,193
faster,3
near,15
promising,1
reply,5
wits,1
digging,4
hall,9
mixed,2
stuff,4
spoke,17
leaning,2
m,63
insolence,1
knocked,1
wish,21
awfully,1
things,31
rapidly,2
unlocking,1
ache,1
themselves,3
machines,1
pretend,1
leave,9
uglification,2
teeth,1
does,9
vulgar,1
shingle,1
judging,1
cool,2
quickly,2
walrus,1
law,2
at,214
plan,4
blow,2
crept,1
ate,1
agony,1
myself,7
affair,1
matters,2
going,27
scaly,1
weak,2
whispered,5
curiosity,5
pig,11
owl,3
bite,2
not,145
rabbits,1
gather,1
song,7
forty,1
star,1
custard,1
prisoner,2
yet,25
ours,1
wherever,2
pan,1
afterwards,2
serpents,3
earth,4
absence,1
desks,1
wine,2
frightened,7
moving,3
bye,2
afore,1
hers,4
brave,1
sent,2
kick,3
viii,1
dull,3
noticed,8
baby,14
stupid,6
proper,3
tossing,3
hatters,1
chimneys,1
march,35
arches,4
guilt,1
bear,2
paper,4
nibbled,2
fly,3
executes,1
energetic,1
queen,75
cost,2
join,9
ladder,1
those,10
dainties,1
forgetting,3
pardon,6
marmalade,1
introduced,1
kneel,1
sharing,1
cheated,1
hanging,3
conversations,1
couple,1
obstacle,1
hopeful,1
woke,1
dream,7
hours,4
alternately,1
arguments,1
doubled,1
ootiful,4
last,34
lately,1
liked,6
spreading,1
manage,7
handwriting,1
boots,4
confusion,5
squeezed,1
drunk,2
vanishing,1
flew,1
magpie,1
camomile,1
esq,1
speed,1
rumbling,1
barking,1
great,39
after,43
solid,1
hold,10
interrupting,2
reality,1
waistcoat,2
tale,4
usurpation,1
northumbria,2
tells,2
rock,1
much,51
asked,17
purpose,1
ix,1
ancient,1
broken,6
ashamed,2
lamps,1
bed,1
invitation,2
reminding,1
dismay,1
kettle,1
touch,1
week,3
zealand,1
tiptoe,2
passed,5
crowd,4
clearer,1
murder,1
between,6
nearer,5
judge,4
killing,1
hiss,1
instead,3
bad,2
truth,1
whiskers,3
explain,10
middle,7
worry,1
twenty,3
favoured,1
carefully,3
passing,1
histories,1
beautifully,2
room,13
archbishop,2
quarrelling,2
along,6
wife,1
pounds,1
splashed,1
thin,1
its,57
filled,3
getting,22
against,9
accidentally,1
dog,3
sands,1
make,27
merrily,1
bowing,1
shouting,2
provoking,1
thank,4
exclaimed,6
waist,1
brushing,1
pieces,3
pie,3
fright,2
fellows,1
say,51
whoever,1
moved,5
particular,4
known,1
curtain,1
left,14
undo,1
frames,1
became,2
water,5
this,138
pattern,1
disobey,1
onions,1
sternly,1
staring,3
dressed,1
field,1
sharks,1
smaller,3
dish,4
shrieks,1
ears,5
beauti,1
legged,2
flavour,1
one,104
useful,2
journey,1
pebbles,2
finish,5
improve,1
all,182
lessons,10
ring,2
talking,17
honest,1
feeling,7
asleep,8
occurred,2
knuckles,1
interesting,5
court,18
supple,1
signed,2
difficulties,1
trusts,1
lullaby,1
sorrowful,2
capering,1
proceed,2
longer,3
herald,1
solemn,3
shillings,1
wild,2
tougher,1
certain,3
today,1
wanted,4
person,4
nearly,11
agree,2
howling,3
trims,1
arms,6
straightening,1
queer,12
lastly,1
snail,3
shouted,9
oh,45
chuckled,1
forepaws,1
out,117
ledge,1
eaten,1
just,52
swallow,1
sing,6
closed,2
sh,2
remembering,1
cheeks,1
cunning,1
minute,21
wonderful,2
sends,1
save,1
sneezing,6
start,1
rudeness,1
fourth,1
turns,3
thoughtfully,4
submitted,1
courage,3
hookah,5
weeks,1
engine,1
form,1
folding,1
soo,7
when,79
prove,1
pennyworth,2
wider,1
stopping,1
possibly,3
ran,16
stamping,2
insult,1
slates,8
slate,4
fig,1
lacie,1
offer,2
blown,1
toss,1
house,18
alas,4
makes,11
sob,1
faintly,1
closely,1
tastes,1
mile,2
imitated,1
rubbing,2
father,6
oyster,1
eyelids,1
noises,1
readily,1
jelly,1
shiny,1
repeat,7
ah,5
hit,2
immense,1
incessantly,1
softly,1
grand,3
write,6
chance,4
conduct,1
hippopotamus,1
furrow,1
crab,3
gutenberg,6
sad,3
recognised,1
stolen,1
two,40
minding,1
feelings,2
muddle,1
nose,8
kissed,1
worse,3
draggled,1
quiet,2
circumstances,1
jar,2
whispers,1
seldom,1
restrictions,1
little,128
angry,5
smoke,1
shining,1
picture,1
ii,1
savage,4
legs,3
glaring,1
croqueted,1
speak,15
labelled,1
chose,2
cards,3
sulkily,2
fifteen,1
hundred,1
managing,1
laughter,1
balanced,1
unimportant,5
capital,4
corners,1
raving,2
wouldn,13
grey,1
chatte,1
miles,3
licking,1
among,12
advisable,2
sneezed,1
argue,1
0,1
walking,5
trees,7
evening,5
longitude,2
grant,1
consultation,1
tulip,1
taken,4
dripping,1
scratching,1
sorrows,1
orange,1
floor,3
send,1
rules,3
larger,7
sorrow,2
ordered,4
stick,4
hatching,1
pleasanter,1
arranged,1
execute,1
riper,1
wrote,3
from,36
completely,1
adjourn,1
sorts,3
neither,2
brandy,1
didn,14
roots,2
swam,5
lived,3
off,73
flung,1
words,21
able,1
wet,2
deepest,1
sat,17
panted,1
consider,4
beating,2
tied,1
second,4
furious,1
enjoy,1
direction,5
likes,1
bottle,10
crying,2
riddle,1
eye,7
whistle,1
fanning,1
wore,1
pour,1
tried,19
otherwise,4
grew,1
keeping,2
recovered,2
xii,1
comfort,1
since,4
desperate,1
prison,1
new,5
theirs,1
limbs,1
wretched,2
alive,3
loveliest,1
while,25
crossly,1
shakespeare,1
thought,74
wrapping,1
eleventh,1
harm,1
because,15
waited,11
bowed,4
eating,1
pegs,1
opened,10
quick,2
cut,5
entirely,2
seaography,1
idiotic,1
millennium,1
push,1
funny,3
croqueting,1
fond,4
cakes,3
inside,2
seems,5
turning,12
locks,2
faces,5
lying,8
humble,1
bark,2
pencils,1
hated,1
resting,2
loving,1
moderate,1
cake,3
find,21
listening,3
addressing,1
rubbed,1
pinched,2
curiouser,2
lessen,1
advance,3
sign,1
by,60
told,6
beautiful,13
latin,1
rise,1
london,1
rose,4
knave,9
claws,2
blades,1
important,7
distant,2
sharp,6
an,57
squeaked,1
thump,2
allow,3
bathing,1
flock,1
name,10
felt,23
follows,3
changing,2
oneself,1
20,1
editions,2
puppy,7
printed,1
inquisitively,1
got,45
shall,25
persons,1
shape,1
uncorked,1
furiously,1
brain,1
order,3
doorway,1
glass,10
childhood,1
different,9
cat,37
family,1
rippling,1
fell,6
downwards,1
hoping,3
fountains,2
fun,3
turtle,59
break,2
fashion,2
invented,1
your,62
ones,1
work,8
grown,7
roughly,1
thick,1
fumbled,1
pitied,1
knife,3
verdict,4
sensation,2
wander,1
couples,1
encouraging,2
stiff,1
trials,1
poor,27
leaves,6
half,23
ahem,1
my,58
peeped,3
air,15
lory,7
french,4
end,20
growing,11
cardboard,1
farther,1
soft,1
taller,2
v,1
height,5
dried,1
